kelurahan,kecamatan,kabupaten,provinsi,kodepos
'SIANJO ANJO MERIAH','GUNUNG MERIAH','ACEH SINGKIL','ACEH','24784'
'SIDOREJO','GUNUNG MERIAH','ACEH SINGKIL','ACEH','24784'
'SUKA MAKMUR','GUNUNG MERIAH','ACEH SINGKIL','ACEH','24784'
'SUKA MAKMUR','GUNUNG MERIAH','ACEH SINGKIL','ACEH','24785'
'TANAH BARA','GUNUNG MERIAH','ACEH SINGKIL','ACEH','24784'
'TANAH MERAH','GUNUNG MERIAH','ACEH SINGKIL','ACEH','24784'
'TANJUNG BETIK','GUNUNG MERIAH','ACEH SINGKIL','ACEH','24784'
'TULAAN','GUNUNG MERIAH','ACEH SINGKIL','ACEH','24784'
'TUNAS HARAPAN','GUNUNG MERIAH','ACEH SINGKIL','ACEH','24784'
'BISKANG','DANAU PARIS','ACEH SINGKIL','ACEH','24771'
'LAE BALNO','DANAU PARIS','ACEH SINGKIL','ACEH','24771'
'NAPA GALUH','DANAU PARIS','ACEH SINGKIL','ACEH','24771'
'SIKORAN','DANAU PARIS','ACEH SINGKIL','ACEH','24771'
'SITUBAN MAKMUR','DANAU PARIS','ACEH SINGKIL','ACEH','24771'
'SITUBUH-TUBUH','DANAU PARIS','ACEH SINGKIL','ACEH','24771'
'ALUR LINCI','SURO','ACEH SINGKIL','ACEH','24772'
'BULU ARA','SURO','ACEH SINGKIL','ACEH','24772'
'BULU SEMA','SURO','ACEH SINGKIL','ACEH','24772'
'KERAS','SURO','ACEH SINGKIL','ACEH','24772'
'KETANGKUHAN','SURO','ACEH SINGKIL','ACEH','24772'
'LAE BANGUN','SURO','ACEH SINGKIL','ACEH','24772'
'MANDUMPANG','SURO','ACEH SINGKIL','ACEH','24772'
'PANGKALAN SULAMPI','SURO','ACEH SINGKIL','ACEH','24772'
'SIOMPIN','SURO','ACEH SINGKIL','ACEH','24772'
'SIRIMO MUNGKUR','SURO','ACEH SINGKIL','ACEH','24772'
'SURO BARU','SURO','ACEH SINGKIL','ACEH','24772'
'LAE PINANG','SINGKOHOR','ACEH SINGKIL','ACEH','24773'
'LAE SIPOLA','SINGKOHOR','ACEH SINGKIL','ACEH','24773'
'MUKTI JAYA','SINGKOHOR','ACEH SINGKIL','ACEH','24773'
'PEA JAMBU','SINGKOHOR','ACEH SINGKIL','ACEH','24773'
'PEA JAMBU','SINGKOHOR','ACEH SINGKIL','ACEH','24774'
'SINGKOHOR','SINGKOHOR','ACEH SINGKIL','ACEH','24773'
'SRI KAYU','SINGKOHOR','ACEH SINGKIL','ACEH','24773'
'BUTAR','KOTA BAHARU','ACEH SINGKIL','ACEH','24774'
'DANAU BUNGARA','KOTA BAHARU','ACEH SINGKIL','ACEH','24774'
'LADANG BISIK','KOTA BAHARU','ACEH SINGKIL','ACEH','24774'
'LAPAHAN BUAYA','KOTA BAHARU','ACEH SINGKIL','ACEH','24774'
'LENTONG','KOTA BAHARU','ACEH SINGKIL','ACEH','24774'
'MUARA PEA','KOTA BAHARU','ACEH SINGKIL','ACEH','24774'
'SAMAR DUA','KOTA BAHARU','ACEH SINGKIL','ACEH','24774'
'SUMBER MUKTI','KOTA BAHARU','ACEH SINGKIL','ACEH','24774'
'IE MEUDAMA','TRUMON','ACEH SELATAN','ACEH','23774'
'KEUDE TRUMON','TRUMON','ACEH SELATAN','ACEH','23774'
'KUTA BARU','TRUMON','ACEH SELATAN','ACEH','23774'
'KUTA PADANG','TRUMON','ACEH SELATAN','ACEH','23774'
'PANTON BILI','TRUMON','ACEH SELATAN','ACEH','23774'
'RAKET','TRUMON','ACEH SELATAN','ACEH','23774'
'SINGLENG','TRUMON','ACEH SELATAN','ACEH','23774'
'TEPIN TINGGI','TRUMON','ACEH SELATAN','ACEH','23774'
'UJONG TAN0H','TRUMON','ACEH SELATAN','ACEH','23778'
'ALUR BUJOK','TRUMON TIMUR','ACEH SELATAN','ACEH','23776'
'JAMBO DALEM','TRUMON TIMUR','ACEH SELATAN','ACEH','23776'
'KAPAI SEUSAK','TRUMON TIMUR','ACEH SELATAN','ACEH','23776'
'KRUNG LUAS','TRUMON TIMUR','ACEH SELATAN','ACEH','23776'
'PINTO RIMBA','TRUMON TIMUR','ACEH SELATAN','ACEH','23776'
'SEUNEUBOK PUNTHO','TRUMON TIMUR','ACEH SELATAN','ACEH','23776'
'COT BAYU','TRUMON TENGAH','ACEH SELATAN','ACEH','23775'
'GUNONG KAPHO','TRUMON TENGAH','ACEH SELATAN','ACEH','23775'
'IE JEUREUNEH','TRUMON TENGAH','ACEH SELATAN','ACEH','23775'
'JAMBO PAPEUN','TRUMON TENGAH','ACEH SELATAN','ACEH','23775'
'KAMPONG TEUNGOH','TRUMON TENGAH','ACEH SELATAN','ACEH','23775'
